id,data_pagamento,valor,plano_id,qtde_meses_pagos
0,12/5/2018,300,1,3
0,12/5/2019,600,1,6
0,11/2/2017,300,1,3
0,11/12/2017,100,1,1
0,11/6/2017,600,1,6
0,10/11/2016,300,1,3
0,11/1/2019,300,1,3
0,9/2/2018,300,1,3
0,9/10/2018,300,1,3
0,11/1/2018,100,1,1
0,11/9/2016,100,1,1
0,10/9/2018,100,1,1
0,12/4/2019,100,1,1
0,10/5/2017,100,1,1
0,11/10/2016,100,1,1
1,25/05/2019,100,1,1
1,26/02/2019,300,1,3
1,27/05/2017,300,1,3
1,27/07/2018,300,1,3
1,27/04/2018,100,1,1
1,27/08/2017,600,1,6
1,27/10/2018,100,1,1
1,27/07/2019,100,1,1
1,27/02/2018,100,1,1
1,27/05/2018,100,1,1
1,27/11/2018,300,1,3
1,27/06/2018,100,1,1
1,27/02/2017,300,1,3
1,27/11/2016,300,1,3
1,27/09/2016,100,1,1
1,27/10/2016,100,1,1
1,27/06/2019,100,1,1
1,27/03/2018,100,1,1
2,5/6/2018,750,3,3
2,6/5/2017,1500,3,6
2,5/5/2019,250,3,1
2,7/9/2018,1500,3,6
2,7/12/2016,750,3,3
2,8/12/2017,750,3,3
2,6/4/2019,250,3,1
2,6/11/2016,250,3,1
2,7/4/2017,250,3,1
2,6/3/2017,250,3,1
2,6/9/2016,250,3,1
2,5/3/2018,250,3,1
2,6/6/2019,750,3,3
2,6/10/2016,250,3,1
2,5/4/2018,250,3,1
2,6/3/2019,250,3,1
2,6/11/2017,250,3,1
3,18/04/2017,185,2,1
3,18/11/2016,555,2,3
3,17/01/2018,1110,2,6
3,18/03/2017,185,2,1
3,17/10/2017,185,2,1
3,17/12/2018,185,2,1
3,18/02/2017,185,2,1
3,19/07/2017,185,2,1
3,18/02/2019,185,2,1
3,18/07/2018,185,2,1
3,17/03/2019,555,2,3
3,19/08/2018,185,2,1
3,18/06/2019,185,2,1
3,18/09/2018,185,2,1
3,18/11/2017,185,2,1
3,19/07/2019,555,2,3
3,18/09/2017,185,2,1
3,17/08/2017,185,2,1
3,18/10/2018,185,2,1
3,18/05/2017,185,2,1
3,19/06/2017,185,2,1
3,18/11/2018,185,2,1
3,18/10/2016,185,2,1
4,7/6/2018,399,4,1
4,7/11/2017,1197,4,3
4,7/11/2018,399,4,1
4,6/2/2019,2394,4,6
4,7/5/2018,399,4,1
4,6/1/2017,1197,4,3
4,7/8/2018,1197,4,3
4,7/8/2017,399,4,1
4,5/2/2018,1197,4,3
4,6/4/2017,1197,4,3
4,5/12/2018,399,4,1
4,6/7/2018,399,4,1
4,7/1/2019,399,4,1
4,7/10/2017,399,4,1
4,6/9/2016,399,4,1
4,6/10/2016,399,4,1
4,7/12/2016,399,4,1
4,7/9/2017,399,4,1
4,5/7/2017,399,4,1
4,5/11/2016,399,4,1
5,25/03/2017,600,1,6
5,26/02/2017,100,1,1
5,26/03/2018,600,1,6
5,26/11/2016,100,1,1
5,25/04/2019,100,1,1
5,25/05/2019,100,1,1
5,26/11/2017,100,1,1
5,27/10/2018,600,1,6
5,27/12/2017,100,1,1
5,27/09/2018,100,1,1
5,26/06/2019,100,1,1
5,27/01/2018,100,1,1
5,27/09/2017,100,1,1
5,25/09/2016,100,1,1
5,24/10/2017,100,1,1
5,24/02/2018,100,1,1
5,24/01/2017,100,1,1
5,25/12/2016,100,1,1
5,24/07/2019,100,1,1
5,26/10/2016,100,1,1
6,13/01/2017,185,2,1
6,14/01/2018,555,2,3
6,13/09/2017,555,2,3
6,14/03/2019,555,2,3
6,12/10/2018,185,2,1
6,12/7/2019,1110,2,6
6,14/05/2017,555,2,3
6,12/6/2019,185,2,1
6,14/04/2018,1110,2,6
6,13/09/2016,185,2,1
6,14/10/2016,185,2,1
6,14/02/2017,555,2,3
6,12/12/2018,555,2,3
6,14/11/2016,185,2,1
6,14/12/2016,185,2,1
6,12/8/2017,185,2,1
6,12/11/2018,185,2,1
7,8/11/2017,600,1,6
7,8/8/2018,100,1,1
7,7/2/2019,600,1,6
7,8/9/2018,300,1,3
7,7/7/2017,100,1,1
7,7/8/2017,300,1,3
7,6/2/2017,300,1,3
7,6/1/2017,100,1,1
7,6/5/2018,300,1,3
7,6/1/2019,100,1,1
7,7/5/2017,100,1,1
7,7/9/2016,100,1,1
7,6/12/2016,100,1,1
7,8/12/2018,100,1,1
7,11/10/2016,399,4,1
8,6/3/2018,2394,4,6
8,6/2/2017,399,4,1
