id,customer_id,data_pagamento,valor,plano_id,qtde_meses_pagos
1,1,12/5/2018,300,1,3
2,1,12/5/2019,600,1,6
3,1,11/2/2017,300,1,3
4,1,11/12/2017,100,1,1
5,1,11/6/2017,600,1,6
6,1,10/11/2016,300,1,3
7,1,11/1/2019,300,1,3
8,1,9/2/2018,300,1,3
9,1,9/10/2018,300,1,3
10,1,11/1/2018,100,1,1
11,1,11/9/2016,100,1,1
12,1,10/9/2018,100,1,1
13,1,12/4/2019,100,1,1
14,1,10/5/2017,100,1,1
15,1,11/10/2016,100,1,1
16,2,25/05/2019,100,1,1
17,2,26/02/2019,300,1,3
18,2,27/05/2017,300,1,3
19,2,27/07/2018,300,1,3
20,2,27/04/2018,100,1,1
21,2,27/08/2017,600,1,6
22,2,27/10/2018,100,1,1
23,2,27/07/2019,100,1,1
3,2,27/02/2018,100,1,1
3,2,27/05/2018,100,1,1
3,2,27/11/2018,300,1,3
3,2,27/06/2018,100,1,1
3,2,27/02/2017,300,1,3
3,2,27/11/2016,300,1,3
3,2,27/09/2016,100,1,1
3,2,27/10/2016,100,1,1
3,2,27/06/2019,100,1,1
3,2,27/03/2018,100,1,1
3,3,5/6/2018,750,3,3
4,3,6/5/2017,1500,3,6
4,3,5/5/2019,250,3,1
4,3,7/9/2018,1500,3,6
4,3,7/12/2016,750,3,3
4,3,8/12/2017,750,3,3
4,3,6/4/2019,250,3,1
4,3,6/11/2016,250,3,1
4,3,7/4/2017,250,3,1
4,3,6/3/2017,250,3,1
4,3,6/9/2016,250,3,1
4,3,5/3/2018,250,3,1
4,3,6/6/2019,750,3,3
4,3,6/10/2016,250,3,1
4,3,5/4/2018,250,3,1
4,3,6/3/2019,250,3,1
4,3,6/11/2017,250,3,1
4,4,18/04/2017,185,2,1
5,4,18/11/2016,555,2,3
5,4,17/01/2018,1110,2,6
5,4,18/03/2017,185,2,1
5,4,17/10/2017,185,2,1
5,4,17/12/2018,185,2,1
5,4,18/02/2017,185,2,1
5,4,19/07/2017,185,2,1
5,4,18/02/2019,185,2,1
5,4,18/07/2018,185,2,1
5,4,17/03/2019,555,2,3
5,4,19/08/2018,185,2,1
5,4,18/06/2019,185,2,1
5,4,18/09/2018,185,2,1
5,4,18/11/2017,185,2,1
5,4,19/07/2019,555,2,3
5,4,18/09/2017,185,2,1
5,4,17/08/2017,185,2,1
5,4,18/10/2018,185,2,1
5,4,18/05/2017,185,2,1
5,4,19/06/2017,185,2,1
5,4,18/11/2018,185,2,1
5,4,18/10/2016,185,2,1
5,5,7/6/2018,399,4,1
6,5,7/11/2017,1197,4,3
6,5,7/11/2018,399,4,1
6,5,6/2/2019,2394,4,6
6,5,7/5/2018,399,4,1
6,5,6/1/2017,1197,4,3
6,5,7/8/2018,1197,4,3
6,5,7/8/2017,399,4,1
6,5,5/2/2018,1197,4,3
6,5,6/4/2017,1197,4,3
6,5,5/12/2018,399,4,1
6,5,6/7/2018,399,4,1
6,5,7/1/2019,399,4,1
6,5,7/10/2017,399,4,1
6,5,6/9/2016,399,4,1
6,5,6/10/2016,399,4,1
6,5,7/12/2016,399,4,1
6,5,7/9/2017,399,4,1
6,5,5/7/2017,399,4,1
6,5,5/11/2016,399,4,1
6,6,25/03/2017,600,1,6
7,6,26/02/2017,100,1,1
7,6,26/03/2018,600,1,6
7,6,26/11/2016,100,1,1
7,6,25/04/2019,100,1,1
7,6,25/05/2019,100,1,1
7,6,26/11/2017,100,1,1
7,6,27/10/2018,600,1,6
7,6,27/12/2017,100,1,1
7,6,27/09/2018,100,1,1
7,6,26/06/2019,100,1,1
7,6,27/01/2018,100,1,1
7,6,27/09/2017,100,1,1
7,6,25/09/2016,100,1,1
7,6,24/10/2017,100,1,1
7,6,24/02/2018,100,1,1
7,6,24/01/2017,100,1,1
7,6,25/12/2016,100,1,1
7,6,24/07/2019,100,1,1
7,6,26/10/2016,100,1,1
7,7,13/01/2017,185,2,1
8,7,14/01/2018,555,2,3
8,7,13/09/2017,555,2,3
8,7,14/03/2019,555,2,3
8,7,12/10/2018,185,2,1
8,7,12/7/2019,1110,2,6
8,7,14/05/2017,555,2,3
8,7,12/6/2019,185,2,1
8,7,14/04/2018,1110,2,6
8,7,13/09/2016,185,2,1
8,7,14/10/2016,185,2,1
8,7,14/02/2017,555,2,3
8,7,12/12/2018,555,2,3
8,7,14/11/2016,185,2,1
8,7,14/12/2016,185,2,1
8,7,12/8/2017,185,2,1
8,7,12/11/2018,185,2,1
8,8,8/11/2017,600,1,6
9,8,8/8/2018,100,1,1
9,8,7/2/2019,600,1,6
9,8,8/9/2018,300,1,3
9,8,7/7/2017,100,1,1
9,8,7/8/2017,300,1,3
9,8,6/2/2017,300,1,3
9,8,6/1/2017,100,1,1
9,8,6/5/2018,300,1,3
9,8,6/1/2019,100,1,1
9,8,7/5/2017,100,1,1
9,8,7/9/2016,100,1,1
9,8,6/12/2016,100,1,1
9,8,8/12/2018,100,1,1
9,8,11/10/2016,399,4,1
9,9,6/3/2018,2394,4,6
10,9,6/2/2017,399,4,1
10,9,7/3/2017,2394,4,6
10,9,7/2/2019,1197,4,3
10,9,5/9/2017,399,4,1
10,9,5/7/2019,2394,4,6
10,9,6/12/2018,399,4,1
10,9,6/2/2018,399,4,1
10,9,5/10/2017,1197,4,3
10,9,6/6/2019,399,4,1
10,9,5/11/2018,399,4,1
10,9,6/1/2018,399,4,1
10,9,6/9/2018,399,4,1
10,9,6/11/2016,1197,4,3
10,9,17/10/2016,399,4,1
10,9,16/05/2019,399,4,1
10,9,18/01/2019,399,4,1
10,10,8/5/2017,1500,3,6
11,10,9/1/2019,1500,3,6
11,10,7/12/2017,1500,3,6
11,10,7/7/2019,250,3,1
11,10,9/11/2016,750,3,3
11,10,9/11/2018,250,3,1
11,10,8/8/2018,750,3,3
11,10,9/2/2017,250,3,1
11,10,8/10/2016,250,3,1
11,10,7/7/2018,250,3,1
11,10,8/12/2018,250,3,1
11,10,8/9/2016,250,3,1
11,10,7/11/2017,250,3,1
11,11,18/11/2018,1197,4,3
12,11,19/05/2017,399,4,1
12,11,19/03/2019,1197,4,3
12,11,19/06/2018,399,4,1
12,11,20/06/2019,399,4,1
12,11,20/07/2017,1197,4,3
12,11,18/02/2017,1197,4,3
12,11,19/03/2018,1197,4,3
12,11,18/09/2016,399,4,1
12,11,18/01/2017,399,4,1
12,11,18/10/2018,399,4,1
12,11,19/11/2017,399,4,1
12,11,19/06/2017,399,4,1
12,11,19/02/2019,399,4,1
12,11,18/01/2018,399,4,1
12,11,17/07/2019,399,4,1
12,11,17/12/2016,399,4,1
12,11,18/10/2016,399,4,1
12,11,17/09/2018,399,4,1
12,11,28/10/2017,100,1,1
12,11,19/07/2018,399,4,1
12,11,17/08/2018,399,4,1
12,12,23/07/2019,100,1,1
13,13,6/11/2016,1197,4,3
14,13,7/2/2017,399,4,1
14,13,7/11/2018,2394,4,6
14,13,7/7/2017,1197,4,3
14,13,6/10/2017,1197,4,3
14,13,6/2/2018,399,4,1
14,13,6/6/2018,399,4,1
14,13,5/5/2017,399,4,1
14,13,7/7/2018,399,4,1
14,13,5/5/2019,1197,4,3
14,13,7/3/2018,399,4,1
14,13,6/9/2016,399,4,1
14,13,7/1/2018,399,4,1
14,13,7/4/2017,399,4,1
14,13,7/3/2017,399,4,1
14,13,5/8/2018,1197,4,3
14,13,5/6/2017,399,4,1
14,13,5/10/2016,399,4,1
14,13,5/5/2018,399,4,1
14,14,17/07/2017,399,4,1
15,14,16/04/2019,399,4,1
15,14,16/08/2017,399,4,1
15,14,16/10/2017,2394,4,6
15,14,18/06/2018,1197,4,3
15,14,18/12/2018,1197,4,3
15,14,17/02/2017,399,4,1
15,14,18/09/2018,1197,4,3
15,14,16/06/2019,1197,4,3
15,14,18/03/2017,399,4,1
15,14,17/04/2018,399,4,1
15,14,17/09/2016,399,4,1
15,14,18/06/2017,399,4,1
15,14,17/04/2017,399,4,1
15,14,18/03/2019,399,4,1
15,14,16/05/2017,399,4,1
15,14,18/11/2016,399,4,1
15,14,18/05/2019,399,4,1
15,14,16/01/2017,399,4,1
15,14,18/10/2016,399,4,1
15,14,16/05/2018,399,4,1
15,14,17/09/2017,399,4,1
15,15,20/02/2018,185,2,1
16,15,21/07/2018,1110,2,6
16,15,20/10/2016,185,2,1
16,15,19/04/2017,555,2,3
16,15,19/06/2018,185,2,1
16,15,21/01/2017,555,2,3
16,15,20/01/2018,185,2,1
16,15,21/04/2019,555,2,3
16,15,19/12/2017,185,2,1
16,15,21/03/2018,185,2,1
16,15,19/02/2019,185,2,1
16,15,20/01/2019,185,2,1
16,15,21/07/2019,555,2,3
16,15,20/08/2017,185,2,1
16,15,20/12/2016,185,2,1
16,15,20/09/2016,185,2,1
16,15,19/04/2018,185,2,1
16,15,19/07/2017,185,2,1
16,15,26/03/2019,100,1,1
16,15,20/09/2017,185,2,1
16,15,19/05/2018,185,2,1
16,15,20/11/2017,185,2,1
16,16,11/10/2018,555,2,3
17,16,12/7/2017,1110,2,6
17,16,12/3/2019,185,2,1
17,16,13/01/2017,185,2,1
17,16,13/01/2018,555,2,3
17,16,14/05/2019,185,2,1
17,16,13/07/2019,185,2,1
17,16,13/09/2016,185,2,1
17,16,14/04/2017,185,2,1
17,16,14/02/2017,185,2,1
17,16,13/07/2018,555,2,3
17,16,13/11/2016,185,2,1
17,16,14/10/2016,185,2,1
17,16,14/06/2018,185,2,1
17,16,19/12/2016,399,4,1
17,16,13/02/2019,185,2,1
17,16,13/05/2018,185,2,1
17,16,14/06/2019,185,2,1
17,16,14/06/2017,185,2,1
17,16,14/05/2017,185,2,1
17,16,14/03/2017,185,2,1
17,16,12/1/2019,185,2,1
17,16,12/4/2019,185,2,1
17,17,3/6/2019,1197,4,3
18,17,2/1/2019,399,4,1
18,17,2/2/2017,1197,4,3
18,17,7/10/2017,1500,3,6
18,17,2/1/2017,399,4,1
18,17,3/8/2017,399,4,1
18,17,3/6/2017,399,4,1
18,17,1/7/2018,1197,4,3
18,17,1/11/2018,399,4,1
18,17,1/3/2019,399,4,1
18,17,1/12/2018,399,4,1
18,17,3/9/2016,399,4,1
18,17,3/5/2019,399,4,1
18,17,2/4/2019,399,4,1
18,17,3/9/2017,399,4,1
18,17,4/5/2017,399,4,1
18,17,4/5/2018,399,4,1
18,17,3/7/2017,399,4,1
18,17,2/10/2016,399,4,1
18,17,2/6/2018,399,4,1
18,17,4/11/2016,399,4,1
18,17,3/4/2018,399,4,1
18,17,4/2/2019,399,4,1
18,17,4/12/2016,399,4,1
18,18,7/6/2018,750,3,3
19,18,8/6/2019,250,3,1
19,18,7/2/2018,250,3,1
19,18,8/7/2017,250,3,1
19,18,9/12/2018,250,3,1
19,18,9/10/2017,750,3,3
19,18,9/5/2017,250,3,1
19,18,8/11/2016,250,3,1
19,18,9/4/2017,250,3,1
19,18,7/5/2019,250,3,1
19,18,8/2/2017,250,3,1
19,18,9/3/2018,250,3,1
19,18,8/10/2018,250,3,1
19,18,8/10/2016,250,3,1
19,18,9/7/2019,750,3,3
19,18,9/5/2018,250,3,1
19,18,9/8/2017,250,3,1
19,18,9/2/2019,750,3,3
19,18,8/4/2018,250,3,1
19,18,9/9/2018,250,3,1
19,18,7/9/2017,250,3,1
19,18,8/1/2017,250,3,1
19,18,9/1/2018,250,3,1
19,19,22/03/2017,1197,4,3
20,19,21/02/2019,399,4,1
20,19,21/01/2017,399,4,1
20,19,21/06/2017,399,4,1
20,19,21/02/2018,2394,4,6
20,19,22/07/2019,2394,4,6
20,19,20/08/2018,1197,4,3
20,19,21/11/2018,399,4,1
20,19,22/08/2017,1197,4,3
20,19,20/05/2019,399,4,1
20,19,22/12/2018,399,4,1
20,19,21/12/2017,399,4,1
20,19,22/01/2019,399,4,1
20,19,22/10/2016,399,4,1
20,19,21/01/2018,399,4,1
20,19,23/12/2016,399,4,1
20,19,22/04/2019,399,4,1
20,19,21/11/2017,399,4,1
20,19,23/06/2019,399,4,1
20,19,23/02/2017,399,4,1
20,19,22/07/2017,399,4,1
20,20,21/03/2019,1110,2,6
21,20,20/12/2017,1110,2,6
21,20,21/02/2017,185,2,1
21,20,21/10/2016,185,2,1
21,20,21/09/2018,555,2,3
21,20,22/11/2016,555,2,3
21,20,22/05/2017,555,2,3
21,20,20/12/2018,185,2,1
21,20,20/11/2017,185,2,1
21,20,22/08/2018,185,2,1
21,20,21/09/2017,185,2,1
21,20,22/01/2019,185,2,1
21,20,20/03/2017,185,2,1
21,20,21/04/2017,185,2,1
21,20,20/08/2017,185,2,1
21,20,20/09/2016,185,2,1
21,20,19/06/2018,185,2,1
21,20,20/02/2019,185,2,1
21,21,17/05/2019,1500,3,6
22,21,16/04/2017,250,3,1
22,21,17/12/2016,250,3,1
22,21,16/05/2017,1500,3,6
22,21,16/11/2017,1500,3,6
22,21,16/09/2018,750,3,3
22,21,16/06/2018,750,3,3
22,21,16/12/2018,750,3,3
22,21,18/04/2019,250,3,1
22,21,16/01/2017,250,3,1
22,21,17/09/2016,250,3,1
22,21,17/03/2019,250,3,1
22,21,17/11/2016,250,3,1
22,21,16/03/2017,250,3,1
22,21,16/10/2016,250,3,1
22,21,17/05/2018,250,3,1
22,22,11/5/2018,600,1,6
23,22,11/6/2019,100,1,1
23,22,10/9/2017,300,1,3
23,22,9/11/2016,300,1,3
23,22,10/2/2017,300,1,3
23,22,8/2/2018,300,1,3
23,22,8/3/2019,300,1,3
23,22,8/1/2018,100,1,1
23,22,10/5/2017,100,1,1
23,22,10/11/2018,100,1,1
23,22,10/1/2019,100,1,1
