id,customer_id,data_id,plano_id,valor,qtde_meses_pagos,
1,1,572,1,300,3,
2,1,908,1,600,6,
3,1,151,1,300,3,
4,1,431,1,100,1,
5,1,263,1,600,6,
6,1,66,1,300,3,
7,1,795,1,300,3,
8,1,485,1,300,3,
9,1,709,1,300,3,
10,1,459,1,100,1,
11,1,11,1,100,1,
12,1,682,1,100,1,
13,1,880,1,100,1,
14,1,234,1,100,1,
15,1,39,1,100,1,
16,2,921,1,100,1,
17,2,838,1,300,3,
18,2,251,1,300,3,
19,2,643,1,300,3,
20,2,559,1,100,1,
21,2,335,1,600,6,
22,2,727,1,100,1,
23,2,979,1,100,1,
24,2,503,1,100,1,
25,2,587,1,100,1,
26,2,755,1,300,3,
27,2,615,1,100,1,
28,2,167,1,300,3,
29,2,83,1,300,3,
30,2,27,1,100,1,
31,2,55,1,100,1,
32,2,951,1,100,1,
33,2,531,1,100,1,
34,3,593,3,750,3,
35,3,230,3,1500,6,
36,3,901,3,250,1,
37,3,679,3,1500,6,
38,3,91,3,750,3,
39,3,428,3,750,3,
40,3,874,3,250,1,
41,3,62,3,250,1,
42,3,203,3,250,1,
43,3,174,3,250,1,
44,3,6,3,250,1,
45,3,509,3,250,1,
46,3,930,3,750,3,
47,3,34,3,250,1,
48,3,537,3,250,1,
49,3,846,3,250,1,
50,3,398,3,250,1,
51,4,214,2,185,1,
52,4,74,2,555,3,
53,4,465,2,1110,6,
54,4,186,2,185,1,
55,4,381,2,185,1,
56,4,773,2,185,1,
57,4,158,2,185,1,
58,4,299,2,185,1,
59,4,830,2,185,1,
60,4,634,2,185,1,
61,4,857,2,555,3,
62,4,663,2,185,1,
63,4,942,2,185,1,
64,4,690,2,185,1,
65,4,410,2,185,1,
66,4,971,2,555,3,
67,4,354,2,185,1,
68,4,325,2,185,1,
69,4,718,2,185,1,
70,4,242,2,185,1,
71,4,271,2,185,1,
72,4,746,2,185,1,
73,4,46,2,185,1,
74,5,595,4,399,1,
75,5,399,4,1197,3,
76,5,735,4,399,1,
77,5,818,4,2394,6,
78,5,567,4,399,1,
79,5,118,4,1197,3,
80,5,651,4,1197,3,
81,5,315,4,399,1,
82,5,481,4,1197,3,
83,5,202,4,1197,3,
84,5,761,4,399,1,
85,5,622,4,399,1,
86,5,791,4,399,1,
87,5,371,4,399,1,
88,5,6,4,399,1,
