id,customer_id,data_id,plano_id,valor,qtde_meses_pagos
1,0,572,1,300,3
2,0,908,1,600,6
3,0,151,1,300,3
4,0,431,1,100,1
5,0,263,1,600,6
6,0,66,1,300,3
7,0,795,1,300,3
8,0,485,1,300,3
9,0,709,1,300,3
10,0,459,1,100,1
11,0,11,1,100,1
12,0,682,1,100,1
13,0,880,1,100,1
14,0,234,1,100,1
15,0,39,1,100,1
16,1,921,1,100,1
17,1,838,1,300,3
18,1,251,1,300,3
19,1,643,1,300,3
20,1,559,1,100,1
21,1,335,1,600,6
22,1,727,1,100,1
23,1,979,1,100,1
24,1,503,1,100,1
25,1,587,1,100,1
26,1,755,1,300,3
27,1,615,1,100,1
28,1,167,1,300,3
29,1,83,1,300,3
30,1,27,1,100,1
31,1,55,1,100,1
32,1,951,1,100,1
33,1,531,1,100,1
34,2,593,3,750,3
35,2,230,3,1500,6
36,2,901,3,250,1
37,2,679,3,1500,6
38,2,91,3,750,3
39,2,428,3,750,3
40,2,874,3,250,1
41,2,62,3,250,1
42,2,203,3,250,1
43,2,174,3,250,1
44,2,6,3,250,1
45,2,509,3,250,1
46,2,930,3,750,3
47,2,34,3,250,1
48,2,537,3,250,1
49,2,846,3,250,1
50,2,398,3,250,1
51,3,214,2,185,1
52,3,74,2,555,3
53,3,465,2,1110,6
54,3,186,2,185,1
55,3,381,2,185,1
56,3,773,2,185,1
57,3,158,2,185,1
58,3,299,2,185,1
59,3,830,2,185,1
60,3,634,2,185,1
61,3,857,2,555,3
62,3,663,2,185,1
63,3,942,2,185,1
64,3,690,2,185,1
65,3,410,2,185,1
66,3,971,2,555,3
67,3,354,2,185,1
68,3,325,2,185,1
69,3,718,2,185,1
70,3,242,2,185,1
71,3,271,2,185,1
72,3,746,2,185,1
73,3,46,2,185,1
74,4,595,4,399,1
75,4,399,4,1197,3
76,4,735,4,399,1
77,4,818,4,2394,6
78,4,567,4,399,1
79,4,118,4,1197,3
80,4,651,4,1197,3
81,4,315,4,399,1
82,4,481,4,1197,3
83,4,202,4,1197,3
84,4,761,4,399,1
85,4,622,4,399,1
86,4,791,4,399,1
87,4,371,4,399,1
88,4,6,4,399,1
89,4,34,4,399,1
90,4,91,4,399,1
91,4,343,4,399,1
92,4,285,4,399,1
93,4,61,4,399,1
94,5,193,1,600,6
95,5,166,1,100,1
96,5,530,1,600,6
97,5,82,1,100,1
98,5,893,1,100,1
99,5,921,1,100,1
100,5,418,1,100,1
101,5,727,1,600,6
102,5,447,1,100,1
103,5,699,1,100,1
104,5,950,1,100,1
105,5,475,1,100,1
106,5,363,1,100,1
107,5,25,1,100,1
108,5,388,1,100,1
109,5,500,1,100,1
110,5,136,1,100,1
111,5,109,1,100,1
112,5,976,1,100,1
113,5,54,1,100,1
114,6,125,2,185,1
115,6,462,2,555,3
116,6,349,2,555,3
117,6,854,2,555,3
118,6,712,2,185,1
119,6,964,2,1110,6
120,6,238,2,555,3
121,6,936,2,185,1
122,6,546,2,1110,6
123,6,13,2,185,1
124,6,42,2,185,1
125,6,154,2,555,3
126,6,768,2,555,3
127,6,70,2,185,1
128,6,98,2,185,1
129,6,320,2,185,1
130,6,740,2,185,1
131,7,400,1,600,6
132,7,652,1,100,1
133,7,819,1,600,6
134,7,680,1,300,3
135,7,287,1,100,1
136,7,315,1,300,3
137,7,146,1,300,3
138,7,118,1,100,1
139,7,566,1,300,3
140,7,790,1,100,1
141,7,231,1,100,1
142,7,7,1,100,1
143,7,90,1,100,1
144,7,764,1,100,1
145,7,39,4,399,1
146,8,510,4,2394,6
147,8,146,4,399,1
148,8,175,4,2394,6
149,8,819,4,1197,3
150,8,341,4,399,1
151,8,957,4,2394,6
152,8,762,4,399,1
153,8,482,4,399,1
154,8,369,4,1197,3
155,8,930,4,399,1
156,8,733,4,399,1
157,8,454,4,399,1
158,8,678,4,399,1
159,8,62,4,1197,3
160,8,45,4,399,1
161,8,912,4,399,1
162,8,802,4,399,1
163,9,232,3,1500,6
164,9,793,3,1500,6
165,9,427,3,1500,6
166,9,959,3,250,1
167,9,65,3,750,3
168,9,737,3,250,1
169,9,652,3,750,3
170,9,149,3,250,1
171,9,36,3,250,1
172,9,623,3,250,1
173,9,764,3,250,1
174,9,8,3,250,1
175,9,399,3,250,1
176,10,746,4,1197,3
177,10,243,4,399,1
178,10,859,4,1197,3
179,10,607,4,399,1
180,10,944,4,399,1
181,10,300,4,1197,3
182,10,158,4,1197,3
183,10,523,4,1197,3
184,10,18,4,399,1
185,10,130,4,399,1
186,10,718,4,399,1
187,10,411,4,399,1
188,10,271,4,399,1
189,10,831,4,399,1
190,10,466,4,399,1
191,10,969,4,399,1
192,10,101,4,399,1
193,10,46,4,399,1
194,10,689,4,399,1
195,10,392,1,100,1
196,10,635,4,399,1
197,10,661,4,399,1
198,11,975,1,100,1
199,12,62,4,1197,3
200,12,147,4,399,1
201,12,735,4,2394,6
202,12,287,4,1197,3
203,12,370,4,1197,3
204,12,482,4,399,1
205,12,594,4,399,1
206,12,229,4,399,1
207,12,623,4,399,1
208,12,901,4,1197,3
209,12,511,4,399,1
210,12,6,4,399,1
211,12,455,4,399,1
212,12,203,4,399,1
213,12,175,4,399,1
214,12,649,4,1197,3
215,12,257,4,399,1
216,12,33,4,399,1
217,12,565,4,399,1
218,13,297,4,399,1
219,13,884,4,399,1
220,13,324,4,399,1
221,13,380,4,2394,6
222,13,606,4,1197,3
223,13,774,4,1197,3
224,13,157,4,399,1
225,13,690,4,1197,3
226,13,940,4,1197,3
227,13,186,4,399,1
228,13,549,4,399,1
229,13,17,4,399,1
230,13,270,4,399,1
231,13,213,4,399,1
232,13,858,4,399,1
233,13,240,4,399,1
234,13,74,4,399,1
235,13,914,4,399,1
236,13,128,4,399,1
237,13,46,4,399,1
238,13,576,4,399,1
239,13,353,4,399,1
240,14,496,2,185,1
241,14,637,2,1110,6
242,14,48,2,185,1
243,14,215,2,555,3
244,14,607,2,185,1
245,14,133,2,555,3
246,14,468,2,185,1
247,14,889,2,555,3
248,14,439,2,185,1
249,14,525,2,185,1
250,14,831,2,185,1
251,14,804,2,185,1
252,14,973,2,555,3
253,14,328,2,185,1
254,14,104,2,185,1
255,14,20,2,185,1
256,14,551,2,185,1
257,14,299,2,185,1
258,14,866,1,100,1
259,14,356,2,185,1
260,14,579,2,185,1
261,14,412,2,185,1
262,15,711,2,555,3
263,15,292,2,1110,6
264,15,852,2,185,1
265,15,125,2,185,1
266,15,461,2,555,3
267,15,910,2,185,1
